epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,1316.47,0.79098,0.54059,1.00804,0.90082,0.87018,0.90727,0.66928,0.98244,0.5711,1.14028,0.0042976,0.0042976,0.0042976
146,1324.93,0.80063,0.55713,1.01354,0.90284,0.85925,0.90463,0.67881,0.96763,0.56049,1.13053,0.004258,0.004258,0.004258
147,1333.4,0.80267,0.55777,1.01533,0.88868,0.86327,0.90495,0.68453,0.96765,0.54857,1.12699,0.0042184,0.0042184,0.0042184
148,1341.81,0.77894,0.54904,1.01133,0.89038,0.85374,0.90636,0.68637,0.96455,0.57822,1.13152,0.0041788,0.0041788,0.0041788
149,1350.3,0.77332,0.52793,0.99933,0.90908,0.87432,0.92707,0.68897,0.95406,0.55919,1.12046,0.0041392,0.0041392,0.0041392
150,1358.75,0.79261,0.54477,1.01179,0.89405,0.86543,0.92403,0.68502,0.96088,0.58617,1.1298,0.0040996,0.0040996,0.0040996
151,1367.18,0.79476,0.56161,1.0174,0.91138,0.85829,0.90731,0.6915,0.95896,0.55984,1.12557,0.00406,0.00406,0.00406
152,1375.58,0.79423,0.54701,1.01191,0.91087,0.85884,0.91404,0.68378,0.97331,0.55135,1.12486,0.0040204,0.0040204,0.0040204
153,1384.23,0.77818,0.53503,1.00565,0.87435,0.89286,0.9135,0.68051,0.98958,0.57255,1.14956,0.0039808,0.0039808,0.0039808
154,1392.85,0.77782,0.53638,1.00915,0.86426,0.8952,0.91057,0.68121,0.98478,0.57648,1.14849,0.0039412,0.0039412,0.0039412
155,1400.82,0.76509,0.52824,0.99101,0.87882,0.88362,0.91019,0.68962,0.94324,0.54608,1.11586,0.0039016,0.0039016,0.0039016
156,1408.72,0.76446,0.52556,0.99163,0.88387,0.87791,0.91593,0.70153,0.94938,0.54755,1.10959,0.003862,0.003862,0.003862
157,1417.61,0.76542,0.52777,0.99511,0.86651,0.88183,0.91742,0.69858,0.9415,0.54117,1.10887,0.0038224,0.0038224,0.0038224
158,1428.43,0.75,0.52264,0.99476,0.90252,0.88198,0.92786,0.68832,0.94675,0.57282,1.11708,0.0037828,0.0037828,0.0037828
159,1437.35,0.75855,0.52287,0.99099,0.87799,0.89665,0.92711,0.68836,0.94186,0.55611,1.11948,0.0037432,0.0037432,0.0037432
160,1446.4,0.76563,0.52643,1.00267,0.89993,0.88896,0.9272,0.68917,0.94414,0.55101,1.11427,0.0037036,0.0037036,0.0037036
161,1455.45,0.75147,0.5196,0.99367,0.88789,0.90143,0.92924,0.69832,0.9599,0.56135,1.12053,0.003664,0.003664,0.003664
162,1464.52,0.74959,0.52524,1.00188,0.92997,0.86827,0.9281,0.70021,0.94881,0.55122,1.12306,0.0036244,0.0036244,0.0036244
163,1473.44,0.77144,0.52224,0.99751,0.91653,0.85876,0.91248,0.68178,0.95916,0.5439,1.13267,0.0035848,0.0035848,0.0035848
164,1482.31,0.73647,0.50619,0.98522,0.92541,0.85066,0.9205,0.67346,0.96254,0.55692,1.14071,0.0035452,0.0035452,0.0035452
165,1490.9,0.76412,0.52076,0.99466,0.92413,0.8421,0.92443,0.68636,0.94607,0.53649,1.12601,0.0035056,0.0035056,0.0035056
166,1499.38,0.75817,0.52558,1.00384,0.85221,0.90453,0.92366,0.69553,0.96047,0.52543,1.13772,0.003466,0.003466,0.003466
167,1507.86,0.73845,0.50935,0.99003,0.87499,0.90216,0.91768,0.69484,0.94113,0.53868,1.12307,0.0034264,0.0034264,0.0034264
168,1517.49,0.7487,0.5173,0.99116,0.89281,0.88881,0.92241,0.69498,0.92225,0.53562,1.10824,0.0033868,0.0033868,0.0033868
169,1526.07,0.73533,0.50227,0.98246,0.85274,0.89111,0.91835,0.69018,0.93557,0.53525,1.1148,0.0033472,0.0033472,0.0033472
170,1534.51,0.74598,0.50897,0.99187,0.91893,0.85362,0.91287,0.69809,0.92302,0.52216,1.10345,0.0033076,0.0033076,0.0033076
171,1542.99,0.72991,0.4968,0.97297,0.89864,0.85905,0.91072,0.69685,0.92843,0.53317,1.11056,0.003268,0.003268,0.003268
172,1551.42,0.7311,0.50491,0.98093,0.91465,0.86697,0.92136,0.70134,0.93329,0.54001,1.11908,0.0032284,0.0032284,0.0032284
173,1559.99,0.7381,0.50511,0.9838,0.92824,0.85738,0.91565,0.69054,0.93179,0.54034,1.11215,0.0031888,0.0031888,0.0031888
174,1568.68,0.73513,0.51631,0.98536,0.93562,0.87231,0.92115,0.69452,0.92893,0.53698,1.10718,0.0031492,0.0031492,0.0031492
175,1577.44,0.73634,0.50346,0.98194,0.8924,0.89584,0.91504,0.69061,0.94299,0.54691,1.11799,0.0031096,0.0031096,0.0031096
176,1586.01,0.73224,0.50574,0.98599,0.92838,0.88927,0.92133,0.69477,0.938,0.52504,1.10614,0.00307,0.00307,0.00307
177,1594.54,0.72419,0.49408,0.9651,0.89763,0.89179,0.92317,0.69464,0.9528,0.53875,1.12219,0.0030304,0.0030304,0.0030304
178,1603.07,0.73343,0.49997,0.98219,0.88717,0.89146,0.92107,0.6924,0.95152,0.5395,1.12134,0.0029908,0.0029908,0.0029908
179,1611.53,0.72776,0.50773,0.97987,0.86101,0.91042,0.91685,0.68773,0.94883,0.54931,1.11846,0.0029512,0.0029512,0.0029512
180,1620.26,0.71516,0.49581,0.97238,0.86792,0.88806,0.91739,0.69447,0.93575,0.53305,1.11736,0.0029116,0.0029116,0.0029116
181,1629,0.7357,0.50099,0.97668,0.87602,0.89078,0.91703,0.7081,0.91879,0.51881,1.10277,0.002872,0.002872,0.002872
182,1637.78,0.69494,0.48785,0.97579,0.88757,0.90234,0.92971,0.69934,0.93307,0.51442,1.10457,0.0028324,0.0028324,0.0028324
